,description,id,location,name,price,seller,strikethrough-price,url
57,"The Inn of the Patriots is housed in the former Hambright family mansion, a clapboard prairie-style sprawl built in 1879. These days, the five-room...",26769,Grover,Inviting AAA Diamond-Rated Inn with White House Chef!,$97,"The Inn of the Patriots : Grover, NC",$175,https://www.livingsocial.com/escapes/properties/72517?td=26769&pos=57
58,"The Joshua Tree Retreat Center  is a uniquely peaceful setting for your yoga retreat, as bright and airy rooms make for relaxing days and restorati...",26659,Joshua Tree,Relax & Grow at a Restorative Yoga Retreat  ,$440,"Joshua Tree Retreat Center : Joshua Tree, CA",$1095,https://www.livingsocial.com/escapes/properties/75053?td=26659&pos=58
59,"Lakeside Inn and Casino combines the two sides of Tahoe into one rustic, relaxing retreat. Classic lodge-style decor abounds in warm woods and ston...",26723,Stateline,"Stay, Hike & Play at a South Lake Tahoe Casino Hotel",$55,"Lakeside Inn and Casino : Stateline, NV",$80,https://www.livingsocial.com/escapes/properties/64381?td=26723&pos=59
60,"In a neighborhood defined by culture, Hotel Belleclaire is right at home. Built in the early 1900s by renowned architect Emery Roth, the boutique h...",26859,NYC,Gorgeous Upper West Side Boutique Hotel + Comedy Show,$169,"Hotel Belleclaire : NYC, NY",$229,https://www.livingsocial.com/escapes/properties/58839?td=26859&pos=60
61,"Uncover one of America's greatest treasures—the ecologically diverse and serenely beautiful Olympic National Park. On this overnight hiking trip, y...",26563,Port Angeles,Backpacking Trip in Shi Shi Beach or the Hoh Rainforest,$159,"Treks and Tracks : Port Angeles, WA",$329,https://www.livingsocial.com/escapes/properties/75909?td=26563&pos=61
62,"Leave the heels and hair dryer behind: At Ruby Lake Resort, it's all about getting away from the noise and artifice of the modern world. The rustic...",26839,Madeira Park,Get Lost With Your Sweetie on the Sunshine Coast,C$299,"Ruby Lake Resort : Madeira Park, Canada",C$448,https://www.livingsocial.com/escapes/properties/75197?td=26839&pos=62
63,"For 100 years, miners bored under the Ortiz Mountains of Northern New Mexico in search of gold. Today, the mountains offer something just as precio...",26639,Madrid,Soothing Sanctuary in the Ortiz Mountains,$102,"The Lotus : Madrid, NM",$195,https://www.livingsocial.com/escapes/properties/83891?td=26639&pos=63
64,"See Yellowstone and Grand Teton—stunning vistas, majestic wildlife, and all—on these two- and four-day itineraries led by a naturalist guide.

Th...",25953,Jackson,Guided Adventure in Wild Grand Teton & Yellowstone,$449,"BrushBuck Guide Services : Jackson, WY",$750,https://www.livingsocial.com/escapes/properties/74098?td=25953&pos=64
65,"Soak in the aquamarine waters of the Blue Lagoon and explore the Icelandic capital on this five-day trip from Great Value Vacations.

The Itinera...",26929,Reykjavik,See the Northern Lights on Your Iceland Trip,$699,"Great Value Vacations : Reykjavik, Iceland",$1049,https://www.livingsocial.com/escapes/properties/83975?td=26929&pos=65
66,"Built in Craftsman and Spanish Revival styles, the Andreas Hotel &amp; Spa features stone archways and a secluded courtyard to reflect the hotel's ...",26693,Palm Springs,Indulge at a Romantic Palm Springs Retreat,$129,"Andreas Hotel and Spa : Palm Springs, CA",$325,https://www.livingsocial.com/escapes/properties/71039?td=26693&pos=66
67,"The historic Nantahala Village resort opened in 1943, and while it's been updated over the years, it still reflects the down-to-earth charm of its ...",26833,Bryson City,Fireplaces and Fall Foliage at This Great Smokies Village,$199,"Nantahala Village : Bryson City, NC",$338,https://www.livingsocial.com/escapes/properties/73231?td=26833&pos=67
68,"An 18-guest room Victorian mansion, Sandaway Waterfront Lodging is located along the Chesapeake Bay in a charming town, just 90 minutes from Washin...",26819,Oxford,Victorian B&B on the Shores of the Chesapeake Bay,$249,"Sandaway Waterfront Lodging : Oxford, MD",$538,https://www.livingsocial.com/escapes/properties/72243?td=26819&pos=68
69,"Wailea Ekahi Village is made up of low-rise resort condos on 34 lush acres terraced down to Keawakapu Beach, where gentle surf welcomes swimmers an...",26783,Wailea,"Resort Condo on Maui, the Best Island in the World",$687,"Wailea Ekahi Village   : Wailea, HI",$1238,https://www.livingsocial.com/escapes/properties/72739?td=26783&pos=69
70," 
For a charming Scottsville stay, look no further than High Meadows Vineyard Inn—which features the long windows, shaded porch, and tended garden...",26909,Scottsville,Stay at a Vintage-Rustic B&B in Virginia Wine Country,$220,"High Meadows Vineyard Inn : Scottsville, VA",$411,https://www.livingsocial.com/escapes/properties/71705?td=26909&pos=70
71,"Visit the historical city of Cartagena, known for its rich, colonial history and proximity to Caribbean beaches—Great Value Vacations will take car...",26879,,Meet Modern South America: Luxury Tour of Cartagena + Flights,$599,Great Value Vacations : ,$899,https://www.livingsocial.com/escapes/properties/83963?td=26879&pos=71
72,"This magnificent hotel enjoys a great setting in South Lake Tahoe, offering ease of access to the many attractions of the region and welcoming gues...",26899,Lake Tahoe,Luxurious Retreat in South Lake Tahoe,$72,"Harveys Lake Tahoe : Lake Tahoe, NV",$120,https://www.livingsocial.com/escapes/properties/64379?td=26899&pos=72
73,"The hotel is centrally located in the heart of the historic Gaslamp Quarter, a five-minute walk from Petco Park. It is also just five minutes on fo...",26893,San Diego,A Hard Rock Night in the Stylish Gaslamp Quarter,$112,"Hard Rock Hotel - San Diego : San Diego, CA",$149,https://www.livingsocial.com/escapes/properties/62547?td=26893&pos=73
74,"From the moment you enter the gates at Omni La Costa Resort &amp; Spa, you are embraced by the picturesque beauty and leisurely charm of the coasta...",26613,Carlsbad,"Spa, Golf & Sun-Drenched Lounging in So. California",$199,"La Costa Resort and Spa : Carlsbad, CA",$359,https://www.livingsocial.com/escapes/properties/48657?td=26613&pos=74
75,"Wine Country RV Resort
• Nestled in the heart of California
• Queen bed
• Sleeper sofa
• Cable
• Kitchen
• Private Bathroom

Learn about th...",26503,Paso Robles,Unwind Under California Skies ,$359,"Wine Country RV Resort : Paso Robles, CA",$597,https://www.livingsocial.com/escapes/properties/83859?td=26503&pos=75
76,"Set between the gorgeous trees of the California mountains, the Pinecrest Chalet is an elegant retreat from the ordinary. Boasting a serenely beaut...",26673,Pinecrest,Find Restoration and Relaxation in the California Pines,$86,"Pinecrest Chalet : Pinecrest, CA",$143,https://www.livingsocial.com/escapes/properties/83901?td=26673&pos=76
77,"Find paradise in sandy beaches, gorgeous flora and fauna, and a first-class stay at Abaco Beach Resort. Tucked inside Marsh Harbor, this Bahamian r...",26943,,Bahamian Paradise at Luxury Resort and Marina,$715,Abaco Beach Resort : ,$1484,https://www.livingsocial.com/escapes/properties/5497?td=26943&pos=77
78,Take an all-inclusive vacation from the real world at this paradise-on-Earth on the stunning white sands of Punta Cana—brought to you by JetSet Vac...,26795,Punta Cana,Relax with All-Inclusive Punta Cana + Flights,$797,"JetSet Vacations : Punta Cana, Dominican Republic",$1097,https://www.livingsocial.com/escapes/properties/83931?td=26795&pos=78
79,"Boasting breezy ocean views and personalized service, Negril Treehouse Resort has been providing guests with cozy Jamaican accommodations for 25 ye...",26825,Negril,Low-Key Jamaica at a Seven Mile Beach Resort,$419,"Negril Treehouse Resort : Negril, Jamaica",$780,https://www.livingsocial.com/escapes/properties/74374?td=26825&pos=79
80,"Spend three days in Panama City, a modern metropolis just steps from rain forests, tropical beaches, and the famous Panama Canal with this tour fro...",26935,Panama City,4 Days of Luxury in Panama City + Flights,$599,"Great Value Vacations : Panama City, Panama",$899,https://www.livingsocial.com/escapes/properties/83979?td=26935&pos=80
